concept_code,concept_name,stock_count,avg_rank
885338.TI,融资融券,291,202.39175257731958
885694.TI,深股通,148,196.96621621621622
885520.TI,沪股通,124,203.3951612903226
885756.TI,芯片概念,117,191.54700854700855
885929.TI,专精特新,103,194.54368932038835
886021.TI,国企改革,80,219.0625
885494.TI,一带一路,79,208.0
885517.TI,机器人概念,76,211.42105263157896
885700.TI,军工,75,194.42666666666668
885806.TI,华为概念,75,201.88
885887.TI,数据中心,74,204.6081081081081
885921.TI,储能,73,211.16438356164383
885431.TI,新能源汽车,73,218.15068493150685
885531.TI,光伏概念,71,221.71830985915494
885728.TI,人工智能,61,203.98360655737704
885710.TI,锂电池概念,60,207.4
885641.TI,风电,59,202.42372881355934
885311.TI,智能电网,53,206.73584905660377
885556.TI,5G,52,208.1153846153846
885426.TI,海工装备,47,183.4468085106383
885571.TI,核电,46,180.15217391304347
885739.TI,股权转让(并购重组),46,185.0
885957.TI,东数西算(算力),45,195.24444444444444
885840.TI,人民币贬值受益,45,196.9777777777778
885427.TI,高端装备,45,197.75555555555556
885564.TI,无人机,42,190.14285714285714
885997.TI,比亚迪概念,42,212.1904761904762
885574.TI,卫星导航,41,195.5609756097561
885552.TI,小金属概念,39,190.2051282051282
886042.TI,存储芯片,38,187.42105263157896
885783.TI,工业互联网,38,196.55263157894737
885461.TI,充电桩,38,216.28947368421052
885800.TI,消费电子概念,37,186.86486486486487
885425.TI,特高压,35,174.85714285714286
886033.TI,共封装光学(CPO),34,171.14705882352942
885823.TI,氢能源,34,215.7941176470588
885743.TI,军民融合,33,204.6969696969697
885521.TI,粤港澳大湾区,32,200.46875
885413.TI,创投,32,206.625
885595.TI,央企国企改革,31,213.19354838709677
885545.TI,汽车电子,30,183.86666666666667
885936.TI,绿色电力,30,202.73333333333332
886032.TI,固态电池,30,211.13333333333333
885789.TI,宁德时代概念,30,222.06666666666666
885939.TI,海峡两岸,29,158.0344827586207
885572.TI,水利,29,211.79310344827587
885976.TI,数字经济,29,211.89655172413794
885705.TI,乡村振兴,27,211.66666666666666
885312.TI,物联网,26,210.30769230769232
885919.TI,碳中和,26,219.0
885736.TI,无人驾驶,26,222.57692307692307
885959.TI,PCB概念,24,194.375
885908.TI,第三代半导体,23,196.95652173913044
886041.TI,数据要素,23,224.1304347826087
885785.TI,小米概念,22,164.54545454545453
885539.TI,医疗器械概念,22,186.3181818181818
885514.TI,京津冀一体化,22,216.3181818181818
885611.TI,阿里巴巴概念,22,226.77272727272728
885378.TI,智慧城市,22,230.45454545454547
885566.TI,大飞机,21,159.9047619047619
886009.TI,先进封装,21,175.85714285714286
885973.TI,金属铜,21,186.8095238095238
885430.TI,天然气,20,170.8
885412.TI,污水处理,20,174.55
886037.TI,6G概念,20,175.6
