concept_code,concept_name,stock_count,avg_rank,leader_code,leader_name,leader_rank,leader_gain_pct,median_code,median_name,median_rank,median_gain_pct,edge_code,edge_name,edge_rank,edge_gain_pct
885756.TI,芯片概念,117,191.55,000547.SZ,航天发展,10,307.88,688258.SH,卓易信息,178,101.22,300480.SZ,光力科技,202,95.44
886078.TI,商业航天,77,185.43,688031.SH,星环科技,4,381.69,002639.SZ,雪人集团,184,99.63,688239.SH,航宇科技,208,94.11
885517.TI,机器人概念,76,211.42,688125.SH,安达智能,2,428.14,600869.SH,远东股份,225,89.44,300480.SZ,光力科技,202,95.44
885700.TI,军工,75,194.43,000547.SZ,航天发展,10,307.88,002361.SZ,神剑股份,209,94.11,600391.SH,航发科技,206,94.48
885806.TI,华为概念,75,201.88,688031.SH,星环科技,4,381.69,002008.SZ,大族激光,194,96.95,300480.SZ,光力科技,202,95.44
885887.TI,数据中心,74,204.61,301308.SZ,江波龙,18,254.74,002350.SZ,北京科锐,205,94.93,002350.SZ,北京科锐,205,94.93
885921.TI,储能,73,211.16,603778.SH,国晟科技,6,341.9,300390.SZ,天华新能,203,95.2,300390.SZ,天华新能,203,95.2
885431.TI,新能源汽车,73,218.15,002931.SZ,锋龙股份,3,391.21,300842.SZ,帝科股份,231,88.54,300390.SZ,天华新能,203,95.2
885531.TI,光伏概念,71,221.72,603778.SH,国晟科技,6,341.9,600869.SH,远东股份,225,89.44,002350.SZ,北京科锐,205,94.93
886107.TI,2025年报预增,61,195.95,688308.SH,欧科亿,7,323.31,688258.SH,卓易信息,178,101.22,002440.SZ,闰土股份,201,95.51
885728.TI,人工智能,61,203.98,688031.SH,星环科技,4,381.69,300490.SZ,华自科技,233,88.15,600869.SH,远东股份,225,89.44
885710.TI,锂电池概念,60,207.4,603778.SH,国晟科技,6,341.9,002756.SZ,永兴材料,217,90.63,300390.SZ,天华新能,203,95.2
885641.TI,风电,59,202.42,301232.SZ,飞沃科技,5,371.69,002112.SZ,三变科技,195,96.94,002350.SZ,北京科锐,205,94.93
886086.TI,西部大开发,54,210.3,300164.SZ,通源石油,11,298.12,600869.SH,远东股份,225,89.44,600391.SH,航发科技,206,94.48
885311.TI,智能电网,53,206.74,601179.SH,中国西电,28,212.08,688676.SH,金盘科技,192,97.53,002350.SZ,北京科锐,205,94.93
885556.TI,5G,52,208.12,000547.SZ,航天发展,10,307.88,603186.SH,华正新材,258,84.43,300044.SZ,ST赛为,237,87.8
885426.TI,海工装备,47,183.45,000547.SZ,航天发展,10,307.88,301120.SZ,新特电气,145,115.47,688239.SH,航宇科技,208,94.11
885571.TI,核电,46,180.15,301232.SZ,飞沃科技,5,371.69,002639.SZ,雪人集团,184,99.63,688239.SH,航宇科技,208,94.11
885739.TI,股权转让(并购重组),46,185.0,002969.SZ,嘉美包装,1,567.14,300943.SZ,春晖智控,168,106.5,002361.SZ,神剑股份,209,94.11
885957.TI,东数西算(算力),45,195.24,000547.SZ,航天发展,10,307.88,300617.SZ,安靠智电,186,98.85,600869.SH,远东股份,225,89.44
885427.TI,高端装备,45,197.76,000657.SZ,中钨高新,21,236.83,300480.SZ,光力科技,202,95.44,300480.SZ,光力科技,202,95.44
886100.TI,DeepSeek概念,43,203.23,688031.SH,星环科技,4,381.69,600869.SH,远东股份,225,89.44,688239.SH,航宇科技,208,94.11
885564.TI,无人机,42,190.14,301232.SZ,飞沃科技,5,371.69,688191.SH,智洋创新,175,102.72,002361.SZ,神剑股份,209,94.11
885997.TI,比亚迪概念,42,212.19,688125.SH,安达智能,2,428.14,300606.SZ,金太阳,243,87.28,001208.SZ,华菱线缆,219,90.62
885574.TI,卫星导航,41,195.56,000547.SZ,航天发展,10,307.88,002565.SZ,顺灏股份,185,99.45,002361.SZ,神剑股份,209,94.11
886089.TI,回购增持再贷款概念,40,201.6,002969.SZ,嘉美包装,1,567.14,601872.SH,招商轮船,204,95.04,601872.SH,招商轮船,204,95.04
885552.TI,小金属概念,39,190.21,000510.SZ,新金路,17,257.62,603588.SH,高能环境,177,102.02,300390.SZ,天华新能,203,95.2
886042.TI,存储芯片,38,187.42,301308.SZ,江波龙,18,254.74,688361.SH,中科飞测,188,98.16,300390.SZ,天华新能,203,95.2
885783.TI,工业互联网,38,196.55,688031.SH,星环科技,4,381.69,300480.SZ,光力科技,202,95.44,300480.SZ,光力科技,202,95.44
885461.TI,充电桩,38,216.29,300903.SZ,科翔股份,29,211.0,600869.SH,远东股份,225,89.44,002350.SZ,北京科锐,205,94.93
885800.TI,消费电子概念,37,186.86,688125.SH,安达智能,2,428.14,301086.SZ,鸿富瀚,169,105.94,688372.SH,伟测科技,211,93.66
885425.TI,特高压,35,174.86,601179.SH,中国西电,28,212.08,002169.SZ,智光电气,162,108.4,002350.SZ,北京科锐,205,94.93
886067.TI,低空经济,35,183.23,301232.SZ,飞沃科技,5,371.69,688433.SH,华曙高科,196,96.82,688239.SH,航宇科技,208,94.11
