sampling_seed,concept_rank,concept_code,concept_name,concept_stock_count,concept_avg_rank,sample_no,ts_code,stock_name,top400_rank,gain_pct
20260319,13,885311.TI,智能电网,53,206.74,1,002519.SZ,银河电子,293,80.48
20260319,13,885311.TI,智能电网,53,206.74,2,300617.SZ,安靠智电,186,98.85
20260319,13,885311.TI,智能电网,53,206.74,3,300444.SZ,双杰电气,142,118.53
20260319,15,885426.TI,海工装备,47,183.45,1,600487.SH,亨通光电,114,130.91
20260319,15,885426.TI,海工装备,47,183.45,2,300516.SZ,久之洋,322,76.11
20260319,15,885426.TI,海工装备,47,183.45,3,600089.SH,特变电工,132,122.10
20260319,8,885431.TI,新能源汽车,73,218.15,1,002931.SZ,锋龙股份,3,391.21
20260319,8,885431.TI,新能源汽车,73,218.15,2,001208.SZ,华菱线缆,219,90.62
20260319,8,885431.TI,新能源汽车,73,218.15,3,600577.SH,精达股份,277,82.25
20260319,2,885494.TI,一带一路,79,208.00,1,300948.SZ,冠中生态,251,85.63
20260319,2,885494.TI,一带一路,79,208.00,2,000969.SZ,安泰科技,350,72.60
20260319,2,885494.TI,一带一路,79,208.00,3,605196.SH,华通线缆,215,91.90
20260319,3,885517.TI,机器人概念,76,211.42,1,300442.SZ,润泽科技,229,88.85
20260319,3,885517.TI,机器人概念,76,211.42,2,002471.SZ,中超控股,159,109.35
20260319,3,885517.TI,机器人概念,76,211.42,3,300912.SZ,凯龙高科,315,76.75
20260319,9,885531.TI,光伏概念,71,221.72,1,300129.SZ,泰胜风能,325,75.74
20260319,9,885531.TI,光伏概念,71,221.72,2,301526.SZ,国际复材,289,80.78
20260319,9,885531.TI,光伏概念,71,221.72,3,300102.SZ,乾照光电,57,165.37
20260319,14,885556.TI,5G,52,208.12,1,688375.SH,国博电子,380,69.12
20260319,14,885556.TI,5G,52,208.12,2,600522.SH,中天科技,364,71.28
20260319,14,885556.TI,5G,52,208.12,3,002498.SZ,汉缆股份,49,175.90
20260319,12,885641.TI,风电,59,202.42,1,603530.SH,神马电力,136,121.03
20260319,12,885641.TI,风电,59,202.42,2,600176.SH,中国巨石,366,71.05
20260319,12,885641.TI,风电,59,202.42,3,300421.SZ,力星股份,386,68.54
20260319,4,885700.TI,军工,75,194.43,1,600105.SH,永鼎股份,82,146.43
20260319,4,885700.TI,军工,75,194.43,2,603629.SH,利通电子,75,150.28
20260319,4,885700.TI,军工,75,194.43,3,688375.SH,国博电子,380,69.12
20260319,11,885710.TI,锂电池概念,60,207.40,1,688717.SH,艾罗能源,375,69.97
20260319,11,885710.TI,锂电池概念,60,207.40,2,000691.SZ,*ST亚太,385,68.67
20260319,11,885710.TI,锂电池概念,60,207.40,3,000630.SZ,铜陵有色,377,69.70
20260319,10,885728.TI,人工智能,61,203.98,1,688158.SH,优刻得,240,87.44
20260319,10,885728.TI,人工智能,61,203.98,2,301396.SZ,宏景科技,392,68.12
20260319,10,885728.TI,人工智能,61,203.98,3,605056.SH,咸亨国际,349,72.67
20260319,1,885756.TI,芯片概念,117,191.55,1,300567.SZ,精测电子,181,100.10
20260319,1,885756.TI,芯片概念,117,191.55,2,301248.SZ,杰创智能,261,83.83
20260319,1,885756.TI,芯片概念,117,191.55,3,301286.SZ,侨源股份,189,98.10
20260319,5,885806.TI,华为概念,75,201.88,1,301248.SZ,杰创智能,261,83.83
20260319,5,885806.TI,华为概念,75,201.88,2,002639.SZ,雪人集团,184,99.63
20260319,5,885806.TI,华为概念,75,201.88,3,301045.SZ,天禄科技,207,94.46
20260319,6,885887.TI,数据中心,74,204.61,1,301317.SZ,鑫磊股份,318,76.30
20260319,6,885887.TI,数据中心,74,204.61,2,002353.SZ,杰瑞股份,76,149.74
20260319,6,885887.TI,数据中心,74,204.61,3,688195.SH,腾景科技,103,134.42
20260319,7,885921.TI,储能,73,211.16,1,002008.SZ,大族激光,194,96.95
20260319,7,885921.TI,储能,73,211.16,2,002455.SZ,百川股份,260,83.90
20260319,7,885921.TI,储能,73,211.16,3,002112.SZ,三变科技,195,96.94
