排名,股票代码,股票简称,开始日期,结束日期,区间涨幅_前复权_pct,最新价,最新涨跌幅_pct,股票市场类型
1,002969.SZ,嘉美包装,2025-09-10,2026-03-09,567.1388101983002,25.91,10.021231422505306,a股
2,688125.SH,安达智能,2025-09-10,2026-03-09,428.13769510369883,249.0,0.8056353993765472,a股
3,002931.SZ,锋龙股份,2025-09-10,2026-03-09,391.21155053358444,83.81,7.105431309904156,a股
4,688031.SH,星环科技,2025-09-10,2026-03-09,381.6909854087548,255.0,5.8135192331631975,a股
5,301232.SZ,飞沃科技,2025-09-10,2026-03-09,371.6850474480636,193.28,5.09488336686423,a股
6,603778.SH,国晟科技,2025-09-10,2026-03-09,341.8952618453865,18.93,6.828442437923256,a股
7,688308.SH,欧科亿,2025-09-10,2026-03-09,323.30677290836655,95.31,12.129411764705884,a股
8,001331.SZ,胜通能源,2025-09-10,2026-03-09,321.996879875195,56.48,4.399260628465796,a股
9,688257.SH,新锐股份,2025-09-10,2026-03-09,320.996640537514,80.05,6.463625482111983,a股
10,000547.SZ,航天发展,2025-09-10,2026-03-09,307.87801778907243,33.66,4.859813084112134,a股
11,300164.SZ,通源石油,2025-09-10,2026-03-09,298.11676082862533,18.9,-10.596026490066237,a股
12,002796.SZ,世嘉科技,2025-09-10,2026-03-09,291.3612565445026,63.36,5.953177257525088,a股
13,300749.SZ,顶固集创,2025-09-10,2026-03-09,290.62499999999994,36.59,4.5428571428571525,a股
14,300658.SZ,延江股份,2025-09-10,2026-03-09,270.4149933065596,29.6,6.97506324539212,a股
15,600759.SH,洲际油气,2025-09-10,2026-03-09,264.91228070175447,7.49,-9.975961538461538,a股
16,000592.SZ,平潭发展,2025-09-10,2026-03-09,258.6419753086419,11.82,1.7211703958692004,a股
17,000510.SZ,新金路,2025-09-10,2026-03-09,257.6208178438661,18.99,-1.2993762993762994,a股
18,301308.SZ,江波龙,2025-09-10,2026-03-09,254.73887814313346,333.51,1.026899309342053,a股
19,002842.SZ,翔鹭钨业,2025-09-10,2026-03-09,253.4585824081981,41.39,0.0,a股
20,301005.SZ,超捷股份,2025-09-10,2026-03-09,243.6625600334099,168.27,2.242070725483046,a股
21,000657.SZ,中钨高新,2025-09-10,2026-03-09,236.83393688566997,66.46,2.0734142220856926,a股
22,603929.SH,亚翔集成,2025-09-10,2026-03-09,234.96450304259642,135.53,2.5887517977442944,a股
23,688766.SH,普冉股份,2025-09-10,2026-03-09,234.4882729211087,259.6,3.4262948207171404,a股
24,002378.SZ,章源钨业,2025-09-10,2026-03-09,232.91326908821347,44.89,-0.0445335114673703,a股
25,002718.SZ,友邦吊顶,2025-09-10,2026-03-09,221.34595162986326,61.53,0.6708115183246134,a股
26,688028.SH,沃尔德,2025-09-10,2026-03-09,219.63483986830298,113.0,5.8151512313887,a股
27,688525.SH,佰维存储,2025-09-10,2026-03-09,216.69346586756325,213.75,-1.3385645049619228,a股
28,601179.SH,中国西电,2025-09-10,2026-03-09,212.08417143741295,19.99,-0.8924144769459754,a股
29,300903.SZ,科翔股份,2025-09-10,2026-03-09,210.99656357388318,40.97,13.176795580110484,a股
30,001203.SZ,大中矿业,2025-09-10,2026-03-09,210.74651353568504,37.42,-1.214361140443508,a股
31,601126.SH,四方股份,2025-09-10,2026-03-09,207.15935334872978,51.24,-3.6842105263157903,a股
32,688523.SH,航天环宇,2025-09-10,2026-03-09,206.49631875270677,73.22,3.4619188921859587,a股
33,605289.SH,罗曼股份,2025-09-10,2026-03-09,205.4989816700611,132.72,-1.6888888888888898,a股
34,001309.SZ,德明利,2025-09-10,2026-03-09,201.56165858912226,294.81,5.2892857142857155,a股
35,301338.SZ,凯格精机,2025-09-10,2026-03-09,199.292879460615,188.7,3.681318681318675,a股
