股票代码,股票简称,最新价,最新涨跌幅,股票市场类型,区间涨跌幅:前复权[20250910-20260309],区间涨跌幅:前复权排名[20250910-20260309],market_code,code
002969.SZ,嘉美包装,25.91,10.021231422505306,a股,567.1388101983002,1/5493,33,002969
688125.SH,安达智能,249.0,0.8056353993765472,a股,428.13769510369883,2/5493,17,688125
002931.SZ,锋龙股份,83.81,7.105431309904156,a股,391.21155053358444,3/5493,33,002931
688031.SH,星环科技,255.0,5.8135192331631975,a股,381.6909854087548,4/5493,17,688031
301232.SZ,飞沃科技,193.28,5.09488336686423,a股,371.6850474480636,5/5493,33,301232
603778.SH,国晟科技,18.93,6.828442437923256,a股,341.8952618453865,6/5493,17,603778
688308.SH,欧科亿,95.31,12.129411764705885,a股,323.30677290836655,7/5493,17,688308
001331.SZ,胜通能源,56.48,4.399260628465796,a股,321.996879875195,8/5493,33,001331
688257.SH,新锐股份,80.05,6.463625482111983,a股,320.996640537514,9/5493,17,688257
000547.SZ,航天发展,33.66,4.859813084112134,a股,307.87801778907243,10/5493,33,000547
300164.SZ,通源石油,18.9,-10.596026490066235,a股,298.11676082862533,11/5493,33,300164
002796.SZ,世嘉科技,63.36,5.953177257525088,a股,291.3612565445026,12/5493,33,002796
300749.SZ,顶固集创,36.59,4.5428571428571525,a股,290.62499999999994,13/5493,33,300749
300658.SZ,延江股份,29.6,6.97506324539212,a股,270.4149933065596,14/5493,33,300658
600759.SH,洲际油气,7.49,-9.975961538461538,a股,264.91228070175447,15/5493,17,600759
000592.SZ,平潭发展,11.82,1.7211703958692004,a股,258.6419753086419,16/5493,33,000592
000510.SZ,新金路,18.99,-1.2993762993762994,a股,257.6208178438661,17/5493,33,000510
301308.SZ,江波龙,333.51,1.0268993093420533,a股,254.73887814313346,18/5493,33,301308
002842.SZ,翔鹭钨业,41.39,0.0,a股,253.4585824081981,19/5493,33,002842
301005.SZ,超捷股份,168.27,2.242070725483046,a股,243.6625600334099,20/5493,33,301005
000657.SZ,中钨高新,66.46,2.0734142220856926,a股,236.83393688566997,21/5493,33,000657
603929.SH,亚翔集成,135.53,2.5887517977442944,a股,234.96450304259642,22/5493,17,603929
688766.SH,普冉股份,259.6,3.4262948207171404,a股,234.4882729211087,23/5493,17,688766
002378.SZ,章源钨业,44.89,-0.04453351146737035,a股,232.91326908821347,24/5493,33,002378
002718.SZ,友邦吊顶,61.53,0.6708115183246134,a股,221.34595162986326,25/5493,33,002718
688028.SH,沃尔德,113.0,5.8151512313887,a股,219.63483986830298,26/5493,17,688028
688525.SH,佰维存储,213.75,-1.3385645049619228,a股,216.69346586756325,27/5493,17,688525
601179.SH,中国西电,19.99,-0.8924144769459754,a股,212.08417143741295,28/5493,17,601179
300903.SZ,科翔股份,40.97,13.176795580110484,a股,210.99656357388318,29/5493,33,300903
001203.SZ,大中矿业,37.42,-1.214361140443508,a股,210.74651353568504,30/5493,33,001203
601126.SH,四方股份,51.24,-3.6842105263157907,a股,207.15935334872978,31/5493,17,601126
688523.SH,航天环宇,73.22,3.4619188921859587,a股,206.49631875270677,32/5493,17,688523
605289.SH,罗曼股份,132.72,-1.6888888888888898,a股,205.4989816700611,33/5493,17,605289
001309.SZ,德明利,294.81,5.2892857142857155,a股,201.56165858912226,34/5493,33,001309
301338.SZ,凯格精机,188.7,3.681318681318675,a股,199.292879460615,35/5493,33,301338
002713.SZ,*ST东易,10.7,1.0387157695939513,a股,197.47191011235955,36/5493,33,002713
300475.SZ,香农芯创,161.85,2.5665399239543616,a股,195.11875818215825,37/5493,33,300475
002413.SZ,雷科防务,15.78,0.7662835249042096,a股,194.91525423728817,38/5493,33,002413
001896.SZ,豫能控股,15.81,-0.8777429467084564,a股,193.19852941176464,39/5493,33,001896
603301.SH,振德医疗,91.52,5.31645569620252,a股,192.49410972736453,40/5493,17,603301
688109.SH,品茗科技,128.01,4.1748046874999964,a股,192.22354340071342,41/5493,17,688109
605178.SH,时空科技,67.51,0.6110283159463649,a股,187.48928877463578,42/5493,17,605178
301377.SZ,鼎泰高科,194.87,4.600107353730539,a股,183.82084095063988,43/5493,33,301377
300751.SZ,迈为股份,266.26,3.1096309491538445,a股,182.06444565811034,44/5493,33,300751
603618.SH,杭电股份,20.72,3.5999999999999943,a股,181.69014084507046,45/5493,17,603618
000534.SZ,万泽股份,47.65,5.048500881834213,a股,181.21512709237447,46/5493,33,000534
301205.SZ,联特科技,259.02,2.04467557026355,a股,178.78088962108737,47/5493,33,301205
300136.SZ,信维通信,70.27,1.4875794338532657,a股,178.29581993569133,48/5493,33,300136
002498.SZ,汉缆股份,9.65,-3.1124497991967917,a股,175.9002770083103,49/5493,33,002498
300461.SZ,田中精机,56.72,0.6744763933262254,a股,174.42766682903067,50/5493,33,300461
300139.SZ,晓程科技,70.55,-4.662162162162166,a股,170.5667276051188,51/5493,33,300139
002149.SZ,西部材料,48.96,2.857142857142856,a股,169.5356738391846,52/5493,33,002149
002792.SZ,通宇通讯,43.64,1.4647756335735935,a股,168.30941983780409,53/5493,33,002792
001270.SZ,*ST铖昌,121.19,4.999133599029627,a股,167.4235403151066,54/5493,33,001270
688102.SH,斯瑞新材,42.85,3.627569528415961,a股,166.7741935483871,55/5493,17,688102
001267.SZ,汇绿生态,45.68,9.992776306284611,a股,166.21794871794873,56/5493,33,001267
300102.SZ,乾照光电,35.57,2.24202356999138,a股,165.36994660564454,57/5493,33,300102
300300.SZ,海峡创新,14.18,1.5032211882605517,a股,164.08317580340264,58/5493,33,300300
688480.SH,赛恩斯,122.0,-2.587032896838067,a股,163.71867761634027,59/5493,17,688480
301292.SZ,海科新源,58.2,1.1118832522585138,a股,162.1129326047359,60/5493,33,301292
688335.SH,复洁科技,40.56,8.044752264251475,a股,161.60278745644598,61/5493,17,688335
300814.SZ,中富电路,106.5,4.514229636898914,a股,161.2820512820513,62/5493,33,300814
600397.SH,江钨装备,19.2,-6.204201270151439,a股,158.45959595959596,63/5493,17,600397
600879.SH,航天电子,26.49,0.9527439024390244,a股,157.2549019607843,64/5493,17,600879
603061.SH,金海通,271.4,2.3108530930749787,a股,156.44818252126836,65/5493,17,603061
603067.SH,振华股份,43.88,-0.49886621315192486,a股,156.24636839047065,66/5493,17,603067
688679.SH,通源环境,44.09,3.2552693208430923,a股,155.84182144997004,67/5493,17,688679
300427.SZ,红相股份,15.69,-1.444723618090455,a股,155.53772070626002,68/5493,33,300427
600118.SH,中国卫星,94.68,3.0586698595841972,a股,153.50441501103754,69/5493,17,600118
301468.SZ,博盈特焊,65.28,0.6941230911615037,a股,153.24218749999997,70/5493,33,301468
300058.SZ,蓝色光标,16.9,0.7751937984496065,a股,152.94117647058826,71/5493,33,300058
605287.SH,德才股份,51.54,10.010672358591243,a股,152.42456896551727,72/5493,17,605287
300179.SZ,四方达,26.66,7.499999999999997,a股,152.03252032520328,73/5493,33,300179
688498.SH,源杰科技,917.86,13.836041175741046,a股,150.55156769522387,74/5493,17,688498
603629.SH,利通电子,57.41,-1.2555899552803647,a股,150.27981058975462,75/5493,17,603629
002353.SZ,杰瑞股份,119.8,1.0970464135021074,a股,149.73656480505795,76/5493,33,002353
603122.SH,合富中国,17.01,1.9784172661870614,a股,149.32735426008966,77/5493,17,603122
688387.SH,信科移动,16.23,3.639846743295021,a股,148.57142857142858,78/5493,17,688387
301093.SZ,华兰股份,88.09,2.394513541787751,a股,148.42622004042735,79/5493,33,301093
688167.SH,炬光科技,341.5,13.64014508668597,a股,147.74113767518548,80/5493,17,688167
301362.SZ,民爆光电,113.78,4.500367376928734,a股,147.39831856396276,81/5493,33,301362
600105.SH,永鼎股份,28.15,5.8668672433245534,a股,146.43188137164043,82/5493,17,600105
002028.SZ,思源电气,227.87,-0.5195145376757172,a股,146.32756210345198,83/5493,33,002028
603353.SH,和顺石油,38.95,-2.867830423940146,a股,146.1632903621854,84/5493,17,603353
300774.SZ,倍杰特,23.87,0.5899705014749287,a股,146.16182572614107,85/5493,33,300774
688233.SH,神工股份,82.65,4.093198992443325,a股,145.82043343653254,86/5493,17,688233
300385.SZ,雪浪环境,13.03,1.0077519379844884,a股,145.2471482889734,87/5493,33,300385
603216.SH,梦天家居,38.44,0.7601572739187396,a股,143.7699680511182,88/5493,17,603216
688027.SH,国盾量子,682.98,0.276024078696226,a股,142.60017809439003,89/5493,17,688027
002922.SZ,伊戈尔,48.14,-0.28997514498757365,a股,142.36947791164658,90/5493,33,002922
300191.SZ,潜能恒信,43.47,-11.700182815356486,a股,141.6789396170839,91/5493,33,300191
000603.SZ,盛达资源,48.2,2.9254751227845497,a股,140.6474820143885,92/5493,33,000603
603268.SH,*ST松发,124.9,4.58884608943226,a股,139.031224979984,93/5493,22,603268
601869.SH,长飞光纤,233.1,9.999528101552546,a股,138.8794949836546,94/5493,17,601869
600343.SH,航天动力,35.18,2.2377215925603116,a股,138.46153846153842,95/5493,17,600343
300342.SZ,天银机电,43.68,2.3909985935302465,a股,138.05803571428567,96/5493,33,300342
688227.SH,品高股份,74.88,1.161848149148878,a股,136.3346104725415,97/5493,17,688227
000962.SZ,东方钽业,55.63,1.090314373977833,a股,136.281665951052,98/5493,33,000962
002490.SZ,山东墨龙,11.92,-9.969788519637465,a股,136.00713012477718,99/5493,33,002490
002716.SZ,湖南白银,15.13,2.576271186440683,a股,136.0,100/5493,33,002716
688548.SH,广钢气体,25.29,0.9984025559105432,a股,135.11737089201876,101/5493,17,688548
605060.SH,联德股份,64.03,1.958598726114656,a股,134.6786248131539,102/5493,17,605060
688195.SH,腾景科技,228.0,9.038737446197993,a股,134.41704035874437,103/5493,17,688195
002208.SZ,合肥城建,15.97,0.630119722747331,a股,134.41654357459382,104/5493,33,002208
688270.SH,臻镭科技,167.07,2.7617173084020052,a股,133.89440368292333,105/5493,17,688270
688353.SH,华盛锂电,107.98,-0.06478482184173362,a股,133.87445887445887,106/5493,17,688353
603163.SH,圣晖集成,110.75,2.927509293680303,a股,132.90043290043286,107/5493,17,603163
688627.SH,精智达,249.33,1.4361269324654193,a股,132.56694105402593,108/5493,17,688627
002853.SZ,皮阿诺,28.85,1.4416315049226447,a股,132.54292722812755,109/5493,33,002853
002202.SZ,金风科技,28.48,0.035124692658944724,a股,132.40816326530611,110/5493,33,002202
301042.SZ,安联锐视,98.43,3.5778175313059095,a股,132.06349206349205,111/5493,33,301042
003041.SZ,真爱美家,53.98,2.565076952308558,a股,131.2390158172232,112/5493,33,003041
300806.SZ,斯迪克,54.2,3.49436700400994,a股,131.2141280353201,113/5493,33,300806
600487.SH,亨通光电,49.99,9.339457567804033,a股,130.90909090909088,114/5493,17,600487
920046.BJ,亿能电力,36.02,-2.858683926645079,a股,130.59701492537314,115/5493,151,920046
603308.SH,应流股份,68.01,-0.38084077925881193,a股,130.56399864910503,116/5493,17,603308
688048.SH,长光华芯,188.4,20.000000000000004,a股,130.40798356325212,117/5493,17,688048
002478.SZ,常宝股份,12.98,-2.111613876319754,a股,129.8093587521664,118/5493,33,002478
600549.SH,厦门钨业,72.18,0.6694560669456122,a股,129.10276073619633,119/5493,17,600549
000688.SZ,国城矿业,35.0,-0.22805017103762343,a股,128.23682498373458,120/5493,33,000688
002083.SZ,孚日股份,11.22,0.17857142857144065,a股,128.1059063136456,121/5493,33,002083
300986.SZ,志特新材,27.75,0.579920260964118,a股,128.01652892561984,122/5493,33,300986
300604.SZ,长川科技,132.65,4.531126871552403,a股,127.78675282714053,123/5493,33,300604
601212.SH,白银有色,10.11,1.9153225806451564,a股,127.5229357798165,124/5493,17,601212
600550.SH,保变电气,18.78,-1.1578947368420993,a股,127.00119474313026,125/5493,17,600550
920576.BJ,天力复合,73.55,3.3150723416210135,a股,125.71337983513,126/5493,151,920576
002772.SZ,众兴菌业,18.04,2.3836549375709315,a股,124.74489795918369,127/5493,33,002772
600875.SH,东方电气,42.16,-1.9534883720930312,a股,124.5430809399478,128/5493,17,600875
002667.SZ,威领股份,30.01,7.178571428571435,a股,123.8209432454037,129/5493,33,002667
002545.SZ,东方铁塔,26.34,-4.113578449217324,a股,123.33333333333331,130/5493,33,002545
000533.SZ,顺钠股份,17.66,7.880268784361632,a股,122.11668928086839,131/5493,33,000533
600089.SH,特变电工,31.86,-2.7472527472527433,a股,122.10169491525423,132/5493,17,600089
300265.SZ,通光线缆,20.3,-1.1684518013631862,a股,122.05405405405405,133/5493,33,300265
603619.SH,中曼石油,38.12,-8.321308321308324,a股,121.87833511205977,134/5493,17,603619
688416.SH,恒烁股份,93.43,4.402726561627011,a股,121.6196136701337,135/5493,17,688416
603530.SH,神马电力,69.43,1.2985118179165458,a股,121.02547565301516,136/5493,17,603530
000711.SZ,ST京蓝,4.22,4.975124378109458,a股,120.87912087912083,137/5493,33,000711
000559.SZ,万向钱潮,18.37,4.020385050962632,a股,120.75,138/5493,33,000559
603601.SH,再升科技,12.35,7.766143106457232,a股,119.5402298850575,139/5493,17,603601
300857.SZ,协创数据,254.7,1.011302795954782,a股,119.24180506042951,140/5493,33,300857
002348.SZ,高乐股份,8.82,2.4390243902439126,a股,119.08396946564885,141/5493,33,002348
300444.SZ,双杰电气,17.62,-2.9735682819383213,a股,118.53188929001202,142/5493,33,300444
000890.SZ,法尔胜,8.71,-2.24466891133557,a股,117.84841075794623,143/5493,33,000890
920088.BJ,科力股份,70.41,-12.42537313432837,a股,116.7700188730116,144/5493,151,920088
301120.SZ,新特电气,28.87,-3.120805369127516,a股,115.47360809833695,145/5493,33,301120
002506.SZ,协鑫集成,6.07,5.017301038062284,a股,114.86988847583643,146/5493,33,002506
600498.SH,烽火通信,57.2,10.000000000000004,a股,114.60998761865456,147/5493,17,600498
300900.SZ,广联航空,43.42,7.368941641938685,a股,114.4220572640509,148/5493,33,300900
688661.SH,和林微纳,94.45,6.362612612612619,a股,114.18234442836467,149/5493,17,688661
000593.SZ,德龙汇能,14.41,1.5503875968992293,a股,113.70481927710843,150/5493,33,000593
001337.SZ,四川黄金,57.61,-6.1726384364820825,a股,112.82495667244365,151/5493,33,001337
688072.SH,拓荆科技,367.33,1.8635090541027621,a股,112.79948070341084,152/5493,17,688072
002047.SZ,*ST宝鹰,5.56,4.3151969981238185,a股,112.35059760956176,153/5493,33,002047
301611.SZ,珂玛科技,122.8,11.241960322492975,a股,112.12528823981553,154/5493,33,301611
002885.SZ,京泉华,33.16,2.0307692307692204,a股,111.58854166666667,155/5493,33,002885
605318.SH,法狮龙,76.84,10.007158196134588,a股,111.3464447806354,156/5493,17,605318
002636.SZ,金安国纪,27.87,9.984214680347282,a股,111.34278565471224,157/5493,33,002636
688593.SH,新相微,34.18,0.6478209658421639,a股,111.32545115121344,158/5493,17,688593
002471.SZ,中超控股,9.4,-2.3883696780893087,a股,109.34782608695654,159/5493,33,002471
300456.SZ,赛微电子,49.67,4.700674536256332,a股,109.26334362593732,160/5493,33,300456
000426.SZ,兴业银锡,51.7,4.06602254428342,a股,108.91505466778804,161/5493,33,000426
002169.SZ,智光电气,16.18,5.201560468140435,a股,108.40108401084012,162/5493,33,002169
601231.SH,环旭电子,41.17,7.353324641460234,a股,107.63400108283705,163/5493,17,601231
003018.SZ,金富科技,26.65,6.514788169464424,a股,107.29080364540182,164/5493,33,003018
600219.SH,南山铝业,7.33,-1.6107382550335585,a股,106.94444444444444,165/5493,17,600219
301075.SZ,多瑞医药,94.31,4.186920017675659,a股,106.80831619830933,166/5493,33,301075
